Majority protein IDs	healthy_sample_0	healthy_sample_1	healthy_sample_2	healthy_sample_3	healthy_sample_4	unhealthy_sample_0	unhealthy_sample_1	unhealthy_sample_2	unhealthy_sample_3	unhealthy_sample_4
A0A087X0Q4;A0A087WW87;A0A075B6R1;P01614	2190.4998883719563	2192.6560085190013	2189.840515201171	2193.799421012699	2190.933072201508	2172.8484003553053	2172.6750745471277	2172.62739950967	2173.064009706092	2172.932328340401
A0A075B6R6;A0A087WWX3;P03986	2178.422588429559	2179.833243166595	2176.8581794255347	2179.7276788860563	2177.2111058311834	2136.8167472790974	2136.6621532578743	2136.0879751513585	2138.5208645161238	2134.8213079518036
A0A075B6S3;P06310;A0A075B6S6	2237.2099830340508	2238.863685980738	2238.2934812991957	2242.3098750504705	2237.462652678112	2474.335405638538	2469.8964733466037	2477.1160230554437	2474.4896126970443	2479.3319953262576
A0A075B6S5	2210.6078774904104	2210.459870705591	2211.0224345603656	2211.132698189838	2210.3148577554084	2293.518965271301	2292.039442029892	2294.4593214178653	2293.746911499956	2294.890605297177
Q9C0C7;A0A075B6T1;Q9C0C7-4;Q9C0C7-2;Q9C0C7-3;Q9C0C7-5;Q9C0C7-6	2299.719861022916	2299.004469970498	2300.1717762207177	2300.2891337530086	2297.5224268371057	2537.979732383626	2533.3111924621444	2540.485007445586	2539.9531553215097	2540.6047665698848
Q9NVX7;Q9NVX7-2;A0A075B6T4	2570.329253807721	2567.96463107465	2571.7540420208925	2566.699442734849	2571.6364112139677	2526.2499103159735	2528.182768098643	2526.0155628807192	2524.1870957054475	2526.6184093765596
A0A075B6T6	2321.011333546865	2319.878782240167	2320.514641972699	2317.237253120032	2321.9016830751157	2094.260433052804	2098.792473428358	2091.758459164047	2093.0750174506447	2090.583626192534
A0A075B6T7	2230.035209804174	2229.9913698370437	2229.983211117838	2229.444002896547	2230.693431920921	2156.488750661841	2158.0003482510215	2155.722008098419	2155.819586792883	2155.6569344587547
A0A075B6V5	2226.1618367081423	2225.802221637804	2225.8319104048337	2224.845095861209	2226.199270953416	2151.3236610678136	2152.720238714868	2150.4581019585944	2151.202935635284	2149.8615912898513
A0A075B6W5	2216.857478884337	2218.181466301823	2216.0460414218414	2218.643827812423	2216.481520547025	2205.3468163279913	2205.0139381512577	2205.1048448245724	2206.145864871775	2204.7623935191573
A0A075B6Y5	2248.205165288251	2248.2124326887647	2247.8630064062936	2247.4818814610717	2248.5169059709606	2166.4336062058615	2167.9420756975414	2165.5147244744344	2166.142804917913	2165.101809783675
A0A075B738	2262.2089346022804	2268.526630716118	2260.0273383555896	2271.756704888525	2263.0414616977523	2214.1658808723378	2213.4334094858486	2213.494890645788	2215.2496497746415	2214.0617608152775
P82921;A0A075B746	2643.8758581350075	2640.9124041245677	2645.5747294908338	2639.639781414013	2644.7994025866997	2643.833151088514	2645.048912866751	2644.0823365251485	2641.9691422729566	2644.7050800032393
A0A087WVF8;A0A087WX83;A0A075B749;Q5VU43-3	2687.625991489206	2685.1262436899874	2687.9327092718718	2683.544914499117	2686.378324109482	2709.50339973515	2709.403992057221	2709.662140151434	2710.0267262087423	2708.7114348983027
O00623;A0A075B773;K7ELY8	2254.488879147679	2255.8244713209187	2254.38600883662	2256.906611635113	2254.9325143887513	2273.4918030576287	2272.9386561879815	2273.7355476380576	2273.4321851718123	2274.312066515166
A0A075B7B8	2331.736031141502	2332.861743719844	2331.6962409760836	2333.293176696654	2332.9904836183696	2270.5706642260284	2271.7475392683996	2269.9988471417396	2269.6352305013115	2270.573477614529
A0A075B7D0	2188.9924377518378	2190.8275247511965	2188.5731672508327	2192.0145282644444	2189.3787753579836	2193.982799136611	2193.500374855387	2194.0339261880304	2194.1404948676927	2194.4713113398157
A0A075B7D8	2251.804221848589	2251.6014386976744	2251.2630455404233	2250.3533848982365	2252.056041675013	2133.190407207508	2135.3670888988786	2131.8346226599238	2132.9114202760825	2131.0626117044208
A8CG34;A0A075B7F8;A0A087WY75;A8CG34-2	2794.656812409211	2794.435382110054	2794.689952862457	2794.103998777742	2794.864815071723	2766.9927796359543	2767.607045895744	2766.705796415111	2766.719560255382	2766.6399330598138
A0A087WSV0;Q9HB09;Q9HB09-3;I6LJZ7	2434.802443396459	2432.7137271624524	2434.25922682082	2429.9275426679505	2434.0734111017355	2300.7825056601578	2303.413965973491	2299.163299106426	2300.9513351270416	2297.381123892721
V9HW75;A0A087WSV8;P80303;P80303-2;Q2L696;E9PKG6	2994.8029841160746	2998.302906004368	2991.2395663705483	2996.737981572971	2994.664057433051	2665.55573397798	2670.09067133925	2661.5156307653947	2666.892316902651	2658.86812896251
Q16881;Q16881-3;A0A087WSW9;A0A087WSY9;Q16881-4;F8W809;E9PNQ6;Q16881-5;Q16881-2;Q16881-6;E9PIR7	3167.4099057953827	3165.923963458967	3167.6044192639365	3164.8855692115385	3166.854998864407	3164.387432830212	3164.6709856528605	3164.3209910103533	3164.51064990593	3163.777467057066
Q96IY4;A0A087WSY5;Q96IY4-2	2645.653785877426	2646.276456053712	2644.200721300948	2645.2655361608117	2644.7313799423946	2547.8132771394507	2548.9572881271224	2546.492988084971	2548.9976224385923	2544.9682800509645
A0A087WSY6	2336.447630572355	2333.4225673072497	2335.9379902534065	2330.2335827087168	2334.746087169509	2246.5830267227857	2248.3765293222095	2245.3708830485466	2247.4588273472286	2243.113765163534
A0A087WT03	2288.5265561129168	2286.707237859305	2289.3950379459275	2285.8623237686215	2288.7556985530196	2294.1817611911774	2294.70601085439	2294.350137244181	2293.3859876961847	2294.5029767059423
P36969;A0A087X2I2;A0A087WT12;P36969-2;K7ERP4;K7EJ20;K7EKX7;K7ENB4;R4GNE4;A0A0A0MTT1	3129.656347300407	3130.1419950566187	3129.7279973740265	3130.2189305235106	3130.5941118508545	3078.858554543282	3079.9296977020012	3078.384130797095	3078.0524514249246	3078.756521897076
Q9NV06;A0A087WT20	2878.7626886059775	2872.8777991919796	2880.7232799899302	2869.5682163835127	2878.284468845414	2884.0928645139547	2885.5578837388884	2884.297540887803	2882.789496413735	2883.6903116930243
Q8N5I9;A0A087WT30	2443.296769569785	2442.8127578190806	2443.644846095168	2443.074765870345	2442.8797319890036	2508.491284783019	2507.367017340821	2509.21554538645	2508.751950041802	2509.386014661122
A0A087WT39;V9GYI1	2678.6353976055025	2668.206662028731	2680.481612691914	2659.81901165883	2677.6956809823587	2447.9198445440493	2454.5791725960244	2445.430233830457	2445.7957205955695	2442.3175116647267
Q9NQ66;A0A087WT80;A0A087WW73;Q9NQ66-2;A0A0D9SF51;A0A0D9SG17;H0YCJ2	2166.180224700457	2166.8136546336964	2166.5503615406187	2167.995034737731	2166.3840863022647	2239.88561932772	2238.517147331003	2240.7647494676607	2239.839934842823	2241.561155811248
Q9H9V9;A0A087WT84;Q9H9V9-2	2229.5538398982994	2228.4760028257574	2229.9654463792594	2228.0178185211394	2229.3635561070996	2248.4001287152937	2248.325517717692	2248.633071907174	2248.261334079909	2248.5839340534644
P08123;A0A087WTA8	2294.9532242988207	2299.90932443317	2293.589488841484	2302.2400433726693	2296.803027765014	2195.788665017127	2196.7063639836083	2194.71907053827	2195.419590162162	2195.6389232980437
A0A087WTJ2;Q96F15;Q96F15-2	3105.908512384564	3099.3837323033745	3104.116547446137	3090.1540285508995	3104.2268543207024	2615.647285080858	2625.309926794303	2609.8341761008546	2615.583074084206	2604.168636544683
A0A087WTM7	2469.561868010729	2472.9277778535748	2468.630084643177	2474.4138950910515	2470.957584086683	2387.999072060726	2388.916524565956	2387.1260197141046	2387.6089942925782	2387.7484958524055
Q96A57;Q5JWB9;A0A087WTT2;Q96A57-2	2511.724405728336	2510.779794333645	2512.0453349039985	2510.9019590970083	2510.6266867495106	2611.341924097899	2609.5137746121372	2612.3855553327544	2612.1555988508953	2612.260943581691
Q8TCU4;A0A087WTU9;A0A087WZY3;Q8TCU4-2	2705.7758979078335	2705.503812450488	2706.1610663601855	2705.172137221767	2706.7778635175277	2652.9548967361975	2654.3075121812517	2652.4940710159062	2651.8514217936317	2652.868854606018
A0A087WTW0;Q96T88;A0A087WVR3;Q96T88-2;A0A087WWG9	2415.578891756782	2413.177007938348	2416.362540410655	2411.115584677685	2416.4694913769963	2311.2023133381404	2314.0204874457672	2310.19293970671	2309.5830879937425	2309.961560718931
Q9UKL3;A0A087WTW5	2482.673014697632	2484.2336611160586	2479.9745916207085	2482.4670098537194	2481.5167776599983	2271.023464639037	2273.746238179499	2268.2881237555666	2272.779662211612	2265.684519547082
Q92504;A0A087WTX2	2463.5473484931567	2468.0734068772945	2462.557915859689	2472.2430052891	2462.642135280737	2660.692458239416	2655.6605722060203	2662.718338111631	2662.941075507458	2663.789329131606
A0A087WTX5	2411.4876563949692	2410.55277153039	2413.6701665788323	2412.4914131321766	2412.207085650393	2622.272897514046	2619.2186980459614	2624.908265022999	2621.1616280544563	2627.175795808604
Q96RQ1;A0A087WU02;H0YI50;H0YI58;F8VPA6	2633.921262081124	2635.376658441665	2631.0261919829763	2632.680752397363	2633.554127043631	2310.5143014765003	2315.4671679153457	2306.582935771051	2311.4610053625393	2303.706361667771
Q5TGZ0;A0A087WU07;Q5TGZ0-2;R4GNA1	2799.6201103172443	2793.883109055273	2801.9061657046923	2791.996973694298	2797.9699259619188	2975.552464186167	2973.6290137867863	2977.5883853234136	2975.4470427473234	2977.423936538856
O75626;A0A087WU16;O75626-2;O75626-3	2234.6733876024336	2235.8136733943397	2234.324876471506	2236.1604913281253	2235.31213137116	2186.1242225066226	2186.8533887152785	2185.6066634000767	2185.8276717720337	2185.7821944526668
A0A087WU28;A0A0B4J2C1	2169.975047238931	2170.477816199229	2170.8265353292436	2171.732920880782	2171.035744247457	2227.650920567981	2226.9119395803627	2228.4766271052576	2226.6818587513585	2229.836023038397
P02724;Q13030;E9PH25;E7EQF3;E9PD10;A0A087WU29;A0A0C4DFT7;P02724-3;P02724-2	2163.736243855925	2162.955921343719	2163.354308327841	2162.670104370167	2161.8158500367017	2244.1792134692705	2242.324935560157	2244.8642356854334	2245.904246203552	2243.918518023732
Q9H0U3;A0A087WU53	2982.7459788851384	2984.0687067924478	2981.6942101713216	2983.64039935395	2983.1764087964507	2857.154889907067	2859.067516448689	2855.6882901670206	2857.1591378822673	2855.07261227258
A0A087WU91;A0A0A0MS15	2379.0602443899443	2383.620182304966	2378.3024665055527	2385.9935667669006	2381.6486115017346	2278.899215357651	2280.2242939960925	2277.9454372642144	2277.6428053158843	2279.442728912452
Q8WYA6;A0A087WUB9;Q8WYA6-4;Q8WYA6-3;Q8WYA6-2	3068.8195278250787	3066.653235030694	3069.289399074787	3065.2714885111586	3068.2694888076185	3068.097155460093	3068.5436432740107	3068.0834898050944	3068.0066156138682	3067.5326370705657
Q15005;A0A087WUC6;E9PL01;E9PI68	3157.375105323765	3156.7345896436036	3157.3886168522945	3156.248418024101	3157.020237113894	3156.398105251301	3156.4719035761873	3156.355598527337	3156.571175645377	3156.0295150953134
A0A087WUD1	2864.347337867834	2865.6912068935503	2864.2295326877866	2866.8661882093043	2864.621116820527	2897.817503249385	2896.9521501407557	2898.20590096706	2897.931325323858	2898.762233058321
Q9NRP0;A0A087WUD3;Q9NRP0-2	2890.910231443989	2890.96490419497	2890.5364523118187	2890.547680764002	2890.7312300130693	2854.058519930947	2854.604798845626	2853.5935977178574	2854.274823587032	2853.148892513214
P28715;A0A087WUH0	2828.352538214994	2823.4259309453278	2829.8564401231333	2820.5343669533486	2827.798406380587	2826.530247323205	2827.806933577006	2826.603770494877	2825.601106823024	2825.918520646795
Q7Z4K8;F5GYK0;Q5VT61;A0A0A0MS35;A0A087WUH1;Q7Z4K8-5;Q7Z4K8-2;Q7Z4K8-4;Q7Z4K8-3	2303.364505276583	2304.225996828393	2303.5680437515607	2305.079673218016	2304.0823994152943	2315.5351823621468	2315.33986510281	2315.7575073078647	2315.0485844763957	2316.4812175800707
Q9Y388;A0A087WUI1	2672.783662167135	2669.961118026449	2673.136492759789	2668.0224188262946	2671.634244884037	2673.6335227581767	2674.024338598566	2673.5706006939517	2673.964111718931	2672.5141251371747
Q15661;P20231;J3QTS8;A0A087WUI4;A0A087X1U0;Q15661-2;A0A0C4DGM1	2111.302339925719	2111.597613139951	2111.675638936755	2113.1637735075938	2110.2912096518653	2282.3348111008654	2278.955197017281	2284.190392603827	2283.410664443718	2284.774539178448
P40305;G3V4U3;Q9H4B1;A0A087WV79;A0A087WUJ8;A0A087WZR1;A8K0H0;A0A087X174	2215.093759591269	2217.805752030485	2213.55589200431	2218.2238459288246	2215.4753260473162	2100.1846272285857	2101.487746454025	2098.7860412484524	2100.6600158479037	2098.279136868573
O14979;A0A087WUK2	3242.134960932465	3236.6462339422837	3243.6891434339814	3233.5201192645727	3241.0612281096205	3265.2740837388214	3266.0979032783794	3265.5835418182287	3264.703265038394	3264.6529871914013
Q3LXA3;A0A087WUL0;H0YCY6;Q3LXA3-2	3154.787610384636	3153.61315047895	3155.4481752895904	3153.3725874443567	3154.703122410473	3195.9840769030943	3195.5958192680973	3196.500884688358	3195.6975803594983	3196.7163900212163
A0A087WUL2	2257.833880257803	2259.511307975944	2258.1095808775754	2260.7505026711024	2259.599507564109	2227.85013057295	2228.5219732451415	2227.704958353424	2226.5409422598755	2228.9760517476293
A0A087WUM0;P57105	2405.231681990435	2401.1943132295455	2405.9380252069504	2398.1639487286675	2404.5027782376474	2349.605991798659	2351.473941582821	2348.984427264852	2349.150060670077	2347.7563958291953
P07203;A0A087WUQ6	3241.015961075881	3242.5248349878116	3241.54366457578	3244.467169813239	3241.9944841488677	3315.229981961161	3313.882083939634	3316.20180188405	3314.647395754436	3317.6736510628457
P62847;E7ETK0;A0A087WUS0;P62847-2;P62847-3;P62847-4	3250.636521004958	3245.283676574028	3252.3778764583967	3242.3300940971762	3250.0058757197885	3267.809278402727	3268.8590728793515	3268.111130397401	3266.822245917705	3267.4996765968044
A0A087WUS7;P01880	2209.249695847329	2210.239009567365	2209.1886636482186	2211.032583906084	2209.629142275945	2220.775382438054	2220.427998603251	2220.9335775368318	2220.679408028391	2221.381303469833
O60841;A0A087WUT6	3158.0267143320116	3155.664719986032	3158.665222370157	3154.1881040581857	3157.696788428533	3150.6894485477833	3151.3879996211904	3150.6384706514855	3150.313104012675	3150.2046819138704
P47974;A0A087WUU9	2693.5851413426094	2694.7243884176237	2691.7889079919305	2693.1476855185124	2693.6330339430087	2480.180308019006	2483.50337376582	2477.6240470440684	2480.5584532181965	2475.9707407531064
A0A087WUW5	2204.620095738778	2206.835952549525	2203.7331495709045	2207.729835122288	2204.985073636214	2162.154622691629	2162.3617717536545	2161.6277450425673	2162.4685660337936	2161.6769736094902
Q9NXU5;A0A087WUW9;A0A0B4J222	2501.750514857858	2500.884455298023	2501.0396680597446	2499.053396203162	2501.299215150454	2386.192623660482	2388.2519440769706	2384.78948358419	2386.439755372727	2383.4389427833503
Q16760-2;A0A087WUZ9;Q16760;H7BZR7	2182.7970243247414	2184.040275414575	2182.506238735764	2185.108454469814	2182.6230002441134	2226.895098665666	2225.712107893885	2227.344181707876	2227.4390589714817	2227.6171910014527
Q99417;A0A087WV05	2983.8191169142415	2982.89067555687	2984.0073094047857	2982.308191775828	2983.534806769487	2986.146010938486	2986.2743885206364	2986.1638721828326	2986.1566413789164	2985.909653488086
Q9NP08;F1T0J4;A0A087WV14	2207.148449800186	2204.87055501747	2207.0789908390043	2202.7782684028807	2206.167268983879	2158.796674176668	2159.928845654839	2158.158170311626	2159.137413517964	2156.8613488090823
A0A0A0MR14;A0A0A0MRF2;A0A087X1R2;A0A087X0P3;A0A087WV17;Q8IYS5-6;Q8IYS5-2;Q8IYS5-3;Q8IYS5-4;Q8IYS5-5;Q8IYS5;Q8IYS5-7	2314.412628449433	2321.548407009183	2311.9443993399263	2324.836972441972	2315.913332807621	2205.830943941609	2206.137988696609	2204.516980809042	2206.4936615317984	2205.1712542628993
P02810;A0A087WYF5;A0A0A0MT31;A0A087WYT0;A0A087WV42;A0A087WZY1	2210.5219129859306	2210.511810362161	2210.9131023713735	2210.9237012402677	2210.8338850740092	2239.874758215436	2239.492566435866	2240.2697987805273	2239.5368423817777	2240.7638158832574
A0A087WV47;P01857;A0A0A0MS07	3348.429896738502	3349.6915067405725	3347.2362056821403	3348.8117124528626	3349.109008748966	3173.775939049569	3176.635772694107	3171.7698433709847	3173.521718568674	3170.953853615945
P46013;A0A087WV66	2576.0506508067933	2577.6774759745426	2574.02850238515	2577.7214151988737	2573.8424427101613	2572.4319924970155	2571.1962683630927	2571.9915869132083	2575.2226121614162	2570.2308001176966
O75352;J3QS48;I3L295;J3KT75;J3QW43;J3QRD5;Q9H3L2;Q1HDL3;A0A087WV81;O75352-2;I3L1D2;J3KSI4;I3L4E0;J3KTK8;J3QQZ4;I3L405;I3L261	2961.768870746486	2962.728156860773	2961.5729148930895	2963.068729303706	2962.473315696289	2919.7886489507837	2920.4833992569834	2919.3653945505994	2919.3661440143455	2919.640217431312
P62341;A0A087WVA1;Q6IAK0	2830.1312158496376	2829.0946513918357	2829.970952158353	2827.53425147283	2830.326247545954	2726.994031136426	2729.1311850535417	2725.842901160861	2726.5134895572523	2725.114036703366
A0A087WVD1	2254.098493934395	2257.7886049976883	2252.815349704716	2259.403039137523	2254.9942821577824	2185.444431413893	2185.8609018569587	2184.6355194682665	2185.6675279288247	2184.9695225731034
Q9NZM3;A0A087WVF7;Q9NZM3-2;Q9NZM3-4;Q9NZM3-3	3037.1670861551856	3036.16486360811	3037.7504246984054	3036.0596068406503	3036.985703638319	3085.79634515658	3085.194644364554	3086.37986099425	3085.6602693683094	3086.5845619895526
O60238;H0YBC7;A0A087WVL5;O60238-2	2468.213823157923	2469.3813501307695	2467.0334438954656	2467.844575720635	2469.7982903675447	2203.419967317145	2208.1808768547116	2200.4907178142903	2202.230898990607	2199.6737241514415
A0A087WVM2;Q8N6Q3;Q8N6Q3-2	2307.90141268172	2316.7262413263315	2305.7127869325896	2321.6396610822017	2310.5867661190155	2226.2638749240573	2226.052803770883	2225.388094209133	2226.202757460972	2227.3044682286964
P0C024;H3BRQ8;A0A087WVP7;P0C024-3;P0C024-2	2218.179208747606	2218.794501874072	2218.305926845954	2219.1047556461704	2219.1201208970683	2182.9987056413734	2183.7663906999364	2182.7045919068623	2182.2230991272536	2183.212827223653
Q00610;A0A087WVQ6;Q00610-2	3554.3506433491766	3554.3873299791912	3554.2393923372074	3554.3444772334096	3554.205313600974	3553.3814593855745	3553.333331953105	3553.3464060881583	3553.543892294427	3553.221440138846
Q9BWW4;A0A087WVT6;Q9BWW4-2;Q9BWW4-3;Q9NW25	2311.2890602401967	2309.077098689988	2310.2096665567788	2305.620322901059	2310.0523477893953	2136.781136625275	2139.9515076469643	2134.610190216112	2137.454469305051	2132.077352853414
O00512;A0A087WVU5	2369.517258971482	2367.3759585537596	2369.6347111676646	2365.4539010270887	2368.9834504883256	2314.789752301123	2316.156261054939	2314.1394348183953	2314.710200512223	2313.161901366583
A0A087WVW2	2176.089731755483	2177.2953493395335	2175.4487614033505	2178.104254010143	2175.3782632339	2215.945993655617	2214.647283481843	2216.2640032914346	2217.0379501224365	2216.061840406212
Q5TI65;A0A087WVZ0;Q9Y5U8	2421.904072803536	2424.123736272912	2420.966235949591	2424.2967499580436	2423.2916188180875	2273.91183376857	2276.2971778877036	2272.29434041875	2273.204914226867	2272.3169491967665
Q96AY4;A0A087WW06	2313.2470586440772	2313.674063016585	2312.700231411257	2312.9039495533	2313.867141032945	2194.908760651584	2197.0317352283228	2193.5896361912955	2194.4397840266106	2193.1484430406217
A0A087WW07;P35225	2416.318952261986	2419.289134456457	2414.4977112886954	2419.4871635267623	2416.804697999155	2263.0237686411233	2264.944349079087	2261.1780687674077	2263.4842460788723	2260.4541689803846
A0A087WW14	2648.2433357949967	2650.0183234227143	2646.2244724952475	2648.960020572427	2648.060444193269	2459.6655836871914	2462.292321066965	2457.3441580946355	2460.468227844063	2455.733266381051
Q96GU1;A0A087WW37;Q96GU1-2;Q5JUL1	2232.1910294198474	2231.020494804387	2232.6430755719884	2229.707728567765	2233.2903218421206	2128.3170290338967	2130.8413192717107	2127.3005873362495	2126.8571477836044	2127.298182454762
P55198;A0A087WW39	2644.898754143112	2636.8560732658502	2646.5267239937207	2631.5757223988885	2642.802327212397	2629.6055945440357	2631.4582705576113	2629.397499905795	2629.3305639194364	2627.205025126954
A0A087WW58;Q9C0D9	2410.2621714216675	2408.413094385445	2410.4905727075034	2407.2366221645775	2409.3538044394118	2425.284634215242	2425.236286789991	2425.39056916696	2425.6570827995015	2424.689723536045
